problem_number,execution_time,variables,clauses,problem_type
196,9901,16,160,U
197,7506,16,160,U
198,9823,16,160,U
199,1106,16,160,S
200,6713,16,160,S
271,1073,16,160,S
272,1499,16,160,S
273,1425,16,160,S
274,1010,16,160,S
275,2269,16,160,S
276,1567,16,160,S
277,1824,16,160,S
278,1047,16,160,S
279,1052,16,160,S
280,875,16,160,S
351,1157,16,160,S
352,937,16,160,S
353,1013,16,160,S
354,1048,16,160,S
355,1048,16,160,S
356,931,16,160,S
357,923,16,160,S
358,1044,16,160,S
359,972,16,160,S
360,890,16,160,S
151,2541,24,120,U
152,4509,24,120,U
153,6036,24,120,U
154,5056,24,120,U
155,7042,24,120,U
156,15486,24,120,U
157,5242,24,120,U
158,7892,24,120,U
159,5181,24,120,U
160,6629,24,120,U
201,1057,18,180,S
202,14286,18,180,U
203,8980,18,180,S
204,16089,18,180,U
205,15681,18,180,U
206,4318,18,180,S
207,15189,18,180,U
208,2789,18,180,S
209,15630,18,180,U
210,12564,18,180,U
281,1480,18,180,S
282,1216,18,180,S
283,1240,18,180,S
284,1453,18,180,S
285,1211,18,180,S
286,1428,18,180,S
287,1261,18,180,S
288,1333,18,180,S
289,1238,18,180,S
290,2032,18,180,S
361,1300,18,180,S
362,1431,18,180,S
363,1277,18,180,S
364,1271,18,180,S
365,1383,18,180,S
366,1299,18,180,S
367,1306,18,180,S
368,1323,18,180,S
369,1312,18,180,S
370,1123,18,180,S
211,15204,20,200,S
212,24522,20,200,U
213,4171,20,200,S
214,15563,20,200,S
215,24062,20,200,U
216,22562,20,200,U
217,4006,20,200,S
218,32615,20,200,U
219,8498,20,200,S
220,30920,20,200,U
291,2021,20,200,S
292,2233,20,200,S
293,1381,20,200,S
294,1744,20,200,S
295,1485,20,200,S
296,2655,20,200,S
297,1549,20,200,S
298,2151,20,200,S
299,3170,20,200,S
300,2018,20,200,S
371,1559,20,200,S
372,1469,20,200,S
373,1612,20,200,S
374,1724,20,200,S
375,1585,20,200,S
376,1506,20,200,S
377,1576,20,200,S
378,1631,20,200,S
379,1582,20,200,S
380,1611,20,200,S
221,25858,22,220,U
222,42687,22,220,U
223,23974,22,220,S
224,33719,22,220,U
225,6566,22,220,S
226,47303,22,220,U
227,5997,22,220,S
228,52308,22,220,U
229,10770,22,220,S
230,59489,22,220,U
301,2884,22,220,S
302,2616,22,220,S
303,2764,22,220,S
304,1807,22,220,S
305,5165,22,220,S
306,1793,22,220,S
307,2538,22,220,S
308,1888,22,220,S
309,2342,22,220,S
310,1862,22,220,S
381,2083,22,220,S
382,1901,22,220,S
383,2026,22,220,S
384,1747,22,220,S
385,2006,22,220,S
386,1824,22,220,S
387,1794,22,220,S
388,2003,22,220,S
389,2000,22,220,S
390,11069,22,220,S
231,82709,24,240,U
232,36798,24,240,S
233,81247,24,240,U
234,29916,24,240,S
235,12053,24,240,S
236,69357,24,240,U
237,23124,24,240,S
238,38919,24,240,S
239,55669,24,240,U
240,27982,24,240,S
311,2856,24,240,S
312,2717,24,240,S
313,2632,24,240,S
314,2967,24,240,S
315,3233,24,240,S
316,3082,24,240,S
317,3288,24,240,S
318,2653,24,240,S
319,2617,24,240,S
320,2371,24,240,S
391,2389,24,240,S
392,2626,24,240,S
393,2557,24,240,S
394,2476,24,240,S
395,2400,24,240,S
396,2372,24,240,S
397,2382,24,240,S
398,2396,24,240,S
399,2282,24,240,S
400,2197,24,240,S
1000,30,4,9,S
1001,24,4,9,U
1002,17,4,9,S
1003,12,4,9,S
1004,23,4,9,U
1005,17,4,9,U
1006,12,4,9,U
1007,13,4,9,S
1008,17,4,9,S
1009,11,4,9,S
1010,81,8,18,S
1011,53,8,18,S
1012,56,8,18,S
1013,82,8,18,U
1014,54,8,18,U
1015,44,8,18,U
1016,71,8,18,U
